objective,n_new,mean_distance,max_distance,median_distance,p90_distance,pct_covered_15min,open_site_ids,open_site_names
min_vuln_weighted,6,1938.9042812045516,8465.914881481025,1876.2546479786492,3076.043644199454,25.713197696936952,"[0, 1, 2, 3, 4, 11, 12, 39, 67, 70, 85]","['Greenfield Senior Center', 'Homewood Senior Center', 'Sheraden Senior Center', 'South Side Senior Center', 'Mount Washington Senior Center', 'Brookline Community Center', 'East Liberty Community Center', 'Martin Luther King Cultural Center', 'ALLEGHENY LIBRARY', 'CARRICK LIBRARY', 'WOODS RUN LIBRARY']"
min_vuln_weighted,7,1846.7706232506428,8465.914881481025,1770.920478185902,3033.3150444701514,28.520096470871593,"[0, 1, 2, 3, 4, 6, 11, 12, 39, 67, 70, 85]","['Greenfield Senior Center', 'Homewood Senior Center', 'Sheraden Senior Center', 'South Side Senior Center', 'Mount Washington Senior Center', 'Lawrenceville Senior Center', 'Brookline Community Center', 'East Liberty Community Center', 'Martin Luther King Cultural Center', 'ALLEGHENY LIBRARY', 'CARRICK LIBRARY', 'WOODS RUN LIBRARY']"
min_vuln_weighted,8,1767.0148626994942,8465.914881481025,1619.1945145873026,2941.4036383143807,33.48326894347471,"[0, 1, 2, 3, 4, 6, 11, 12, 67, 70, 74, 79, 85]","['Greenfield Senior Center', 'Homewood Senior Center', 'Sheraden Senior Center', 'South Side Senior Center', 'Mount Washington Senior Center', 'Lawrenceville Senior Center', 'Brookline Community Center', 'East Liberty Community Center', 'ALLEGHENY LIBRARY', 'CARRICK LIBRARY', 'HILL DISTRICT LIBRARY', 'MAIN (OAKLAND) LIBRARY', 'WOODS RUN LIBRARY']"
min_vuln_weighted,9,1697.9187154050196,8465.914881481025,1484.4771270909227,2904.7968798240754,36.26901182451675,"[0, 1, 2, 3, 4, 6, 11, 12, 67, 70, 74, 79, 83, 85]","['Greenfield Senior Center', 'Homewood Senior Center', 'Sheraden Senior Center', 'South Side Senior Center', 'Mount Washington Senior Center', 'Lawrenceville Senior Center', 'Brookline Community Center', 'East Liberty Community Center', 'ALLEGHENY LIBRARY', 'CARRICK LIBRARY', 'HILL DISTRICT LIBRARY', 'MAIN (OAKLAND) LIBRARY', 'SQUIRREL HILL LIBRARY', 'WOODS RUN LIBRARY']"
min_vuln_weighted,10,1627.9027963133497,5020.444336977867,1479.754113559253,2856.3045892175505,37.07781788356447,"[0, 1, 2, 3, 4, 6, 11, 12, 40, 67, 70, 74, 79, 83, 85]","['Greenfield Senior Center', 'Homewood Senior Center', 'Sheraden Senior Center', 'South Side Senior Center', 'Mount Washington Senior Center', 'Lawrenceville Senior Center', 'Brookline Community Center', 'East Liberty Community Center', 'McBride Swimming Pool Building', 'ALLEGHENY LIBRARY', 'CARRICK LIBRARY', 'HILL DISTRICT LIBRARY', 'MAIN (OAKLAND) LIBRARY', 'SQUIRREL HILL LIBRARY', 'WOODS RUN LIBRARY']"
min_worst_case,0,3924.4815348840916,10302.57895887431,3813.3371830093806,6556.0779244656105,9.996973079939982,"[0, 1, 2, 3, 4]","['Greenfield Senior Center', 'Homewood Senior Center', 'Sheraden Senior Center', 'South Side Senior Center', 'Mount Washington Senior Center']"
min_worst_case,1,3856.1208890847297,8465.914881481025,3782.8256905544376,6473.240658527397,10.193560146203493,"[0, 1, 2, 3, 4, 66]","['Greenfield Senior Center', 'Homewood Senior Center', 'Sheraden Senior Center', 'South Side Senior Center', 'Mount Washington Senior Center', 'Fowler Pool Buiding']"
min_worst_case,2,3339.5659104779065,8145.968627767708,3382.462431412622,5639.487472328487,12.122326627457745,"[0, 1, 2, 3, 4, 40, 66]","['Greenfield Senior Center', 'Homewood Senior Center', 'Sheraden Senior Center', 'South Side Senior Center', 'Mount Washington Senior Center', 'McBride Swimming Pool Building', 'Fowler Pool Buiding']"
min_worst_case,3,3680.848376135127,7006.7526867812085,3697.3403240062653,6071.702604430141,10.805779138987706,"[0, 1, 2, 3, 4, 23, 40, 70]","['Greenfield Senior Center', 'Homewood Senior Center', 'Sheraden Senior Center', 'South Side Senior Center', 'Mount Washington Senior Center', 'Brighton Heights Pool Building', 'McBride Swimming Pool Building', 'CARRICK LIBRARY']"
min_worst_case,4,2803.720603038494,6237.864335596946,2872.1096132135754,4623.806359192007,15.662521196577304,"[0, 1, 2, 3, 4, 6, 40, 47, 66]","['Greenfield Senior Center', 'Homewood Senior Center', 'Sheraden Senior Center', 'South Side Senior Center', 'Mount Washington Senior Center', 'Lawrenceville Senior Center', 'McBride Swimming Pool Building', 'Overbrook Senior Center', 'Fowler Pool Buiding']"
min_worst_case,5,2732.8806786229297,4909.453932496066,2868.6157900553535,4447.614649270326,15.723710548328196,"[0, 1, 2, 3, 4, 6, 20, 40, 66, 70]","['Greenfield Senior Center', 'Homewood Senior Center', 'Sheraden Senior Center', 'South Side Senior Center', 'Mount Washington Senior Center', 'Lawrenceville Senior Center', 'Banksville Pool Building and Shelter', 'McBride Swimming Pool Building', 'Fowler Pool Buiding', 'CARRICK LIBRARY']"
min_worst_case,6,2784.533875024752,4909.453932496066,2978.8307613279358,4485.303337322837,16.096705213788436,"[0, 1, 2, 3, 4, 6, 40, 63, 70, 71, 85]","['Greenfield Senior Center', 'Homewood Senior Center', 'Sheraden Senior Center', 'South Side Senior Center', 'Mount Washington Senior Center', 'Lawrenceville Senior Center', 'McBride Swimming Pool Building', 'Westwood Pool Building', 'CARRICK LIBRARY', 'DOWNTOWN & BUSINESS LIBRARY', 'WOODS RUN LIBRARY']"
min_worst_case,7,2716.7241248427995,4909.453932496066,2873.503389453937,4485.303337322837,17.492343194149257,"[0, 1, 2, 3, 4, 5, 6, 11, 40, 56, 70, 85]","['Greenfield Senior Center', 'Homewood Senior Center', 'Sheraden Senior Center', 'South Side Senior Center', 'Mount Washington Senior Center', 'Allegheny Senior Center', 'Lawrenceville Senior Center', 'Brookline Community Center', 'McBride Swimming Pool Building', 'Sue Murray Filter Building', 'CARRICK LIBRARY', 'WOODS RUN LIBRARY']"
min_worst_case,8,2717.6876348301203,4909.453932496066,2868.6157900553535,4485.303337322837,17.196160693652907,"[0, 1, 2, 3, 4, 5, 6, 11, 40, 46, 56, 70, 85]","['Greenfield Senior Center', 'Homewood Senior Center', 'Sheraden Senior Center', 'South Side Senior Center', 'Mount Washington Senior Center', 'Allegheny Senior Center', 'Lawrenceville Senior Center', 'Brookline Community Center', 'McBride Swimming Pool Building', 'Overbrook Community Center', 'Sue Murray Filter Building', 'CARRICK LIBRARY', 'WOODS RUN LIBRARY']"
